RX Frequency,TX Frequency,Service
4125 kHZ,,Maritime Mobile
6215 kHZ,,Maritime Mobile
8291 kHZ,,Maritime Mobile
12290 kHZ,,Maritime Mobile
16420 kHZ,,Maritime Mobile
156.8 Mhz,,Short range Maritime Mobile
121.5 Mhz,,International Air Distress
243 Mhz,,NATO Military
123.1 Mhz,,S&R Aeronautical Auxiliary
138.78 Mhz,,US Military voice SAR on-the-scene use
155.160 Mhz,,
172.5 Mhz,,This frequency is monitored by all U.S. Navy ASW aircraft assigned to a SAR mission.
282.8 Mhz,,Joint task on-the-scene voice (used throughout NATO)
1294.500 Mhz,,HAM 23 cm emergency
927.500 Mhz,,HAM 33 cm emergency
433.500 Mhz,,HAM 70 cm emergency Europe/Africa
446.00 Mhz,,HAM 70 cm emergency US/Asia
223.500 Mhz,,HAM 1.25 m emergency US
145.500 Mhz,,HAM 2 m emergency Europe/Africa
146.520 Mhz,,HAM 2m emergency US/Canada
145.500 Mhz,,HAM 2m Asia
70.450 Mhz,,HAM 4m Europe/Africa
52.535 Mhz,,HAM 6m US
29.600 Mhz,,HAM 10m US
21360 kHZ,,HAM 15m
18160 kHZ,,HAM 17m
14300 kHZ,,HAM 20m
7110 kHZ,,HAM 40m Europe/Africa
7060 kHZ,,HAM 40m US
7240 kHZ,,HAM 40m US
7275 kHZ,,HAM 40m US
7110 kHZ,,HAM 40m Asia
3760 kHZ,,HAM 80m Europe/Africa
3750 kHZ,,HAM 80m US
3985 kHZ,,HAM 80m US
3600 kHZ,,HAM 80m Asia
26.985 Mhz AM,,Citizen Band Channel 3 (3AM)
27.065 Mhz AM,,Citizen Band Channel 9 (9AM)
27.185 Mhz AM,,Citizen Band Channel 19
27.3650 Mhz Upper SideBand (USB),,Survivalist Prepper Freeband
27.3750 Mhz USB,,Survivalist Prepper Freeband
27.368 Mhz USB,,Survivalist Prepper Freeband
27.378 Mhz USB,,Survivalist Prepper Freeband
27.4250 Mhz USB,,Survivalist Prepper Freeband
462.675 Mhz,467.675,"GMRS (channel 20, PL 141.3 Repeater)"
462.600 Mhz,,GMRS (channel 17)
151.940 Mhz,,MURS (US Only)
462.5625 Mhz,,FRS (channel 1)
462.6125 Mhz,,FRS (channel 3)
446.03125 Mhz,,PMR (channel 3)
446.030 Mhz,,HAM U3 (Prepper)
146.420 Mhz,,HAM 42 (Prepper)
146.520 Mhz,,HAM 55 (Prepper)
155.160 Mhz,,SAREMT
156.800 Mhz,,Marine VHF Safety Calling
156.625 Mhz,,Marine VHF Boat Prepper
,,
"* 3-3-3 Plan, Channel 3 Every 3 Hours for 3 Minutes",,
